,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
45834,2002,20.0,1.0,1.0,Religious,Republican
45835,2002,30.0,0.0,1.0,Not Religious,Republican
45836,2002,10.0,1.0,1.0,Religious,Republican
45838,2002,90.0,1.0,5.0,Religious,Democrat
45840,2002,50.0,0.0,2.0,Not Religious,Independent
45841,2002,65.0,1.0,1.0,Religious,Republican
45844,2002,50.0,0.0,2.0,Not Religious,Independent
45846,2002,50.0,1.0,5.0,Religious,Democrat
45847,2002,50.0,1.0,5.0,Religious,Democrat
45848,2002,50.0,0.0,1.0,Not Religious,Republican
45849,2002,75.0,1.0,1.0,Religious,Republican
45852,2002,50.0,1.0,1.0,Religious,Republican
45855,2002,80.0,0.0,5.0,Not Religious,Democrat
45857,2002,50.0,0.0,5.0,Not Religious,Democrat
45858,2002,60.0,1.0,2.0,Religious,Independent
45859,2002,25.0,1.0,1.0,Religious,Republican
45860,2002,70.0,0.0,5.0,Not Religious,Democrat
45861,2002,40.0,1.0,1.0,Religious,Republican
45864,2002,30.0,1.0,2.0,Religious,Independent
45865,2002,20.0,1.0,2.0,Religious,Independent
45866,2002,50.0,1.0,2.0,Religious,Independent
45867,2002,50.0,1.0,2.0,Religious,Independent
45868,2002,50.0,0.0,5.0,Not Religious,Democrat
45869,2002,50.0,1.0,2.0,Religious,Independent
45870,2002,0.0,1.0,5.0,Religious,Democrat
45871,2002,60.0,0.0,1.0,Not Religious,Republican
45873,2002,45.0,1.0,1.0,Religious,Republican
45874,2002,35.0,1.0,1.0,Religious,Republican
45875,2002,60.0,1.0,5.0,Religious,Democrat
45876,2002,50.0,0.0,1.0,Not Religious,Republican
45877,2002,25.0,1.0,5.0,Religious,Democrat
45878,2002,75.0,1.0,5.0,Religious,Democrat
45879,2002,50.0,1.0,2.0,Religious,Independent
45880,2002,10.0,0.0,1.0,Not Religious,Republican
45881,2002,65.0,0.0,2.0,Not Religious,Independent
45882,2002,50.0,0.0,1.0,Not Religious,Republican
45883,2002,50.0,1.0,2.0,Religious,Independent
45884,2002,50.0,1.0,5.0,Religious,Democrat
45887,2002,0.0,1.0,1.0,Religious,Republican
45888,2002,50.0,1.0,1.0,Religious,Republican
45889,2002,98.5,0.0,2.0,Not Religious,Independent
45890,2002,80.0,0.0,5.0,Not Religious,Democrat
45891,2002,50.0,1.0,2.0,Religious,Independent
